Nama Lokasi,Hari,Jam Login,Nama,Jenis Kelamin,Email,No Telp,Provider Seluler,Tahun Lahir,Merek HP,Digital Interest,Location Type,Durasi
Halte Larry Sunshine,Kamis,20:01:28,Rizki Bagus Kartika,Laki-laki,Rizki_Bagus_Kartika@gmail.com,084711913187,Indosat,1981,Realme,Game,Halte,01:46:32
Mall Domo Star,Minggu,12:45:41,Rizki Bagus Ayu,Perempuan,Rizki_Bagus_Ayu@gmail.com,083476089079,XL,1998,Lenovo,Game,Mall,02:08:44
Halte Specta Rotello,Selasa,13:36:47,Rizki Bagus Alma,Perempuan,Rizki_Bagus_Alma@gmail.com,085433447222,Telkomsel,1980,Xiaomi,Hiburan,Halte,00:33:50
Halte Rotello Sunshine,Senin,17:53:37,Rizki Bagus Nabilah,Perempuan,Rizki_Bagus_Nabilah@gmail.com,086573377719,Smartfren,1971,Iphone,Work Stuff,Halte,01:35:04
Restoran Rotello Star,Sabtu,11:12:22,Rizki Bagus Putri,Laki-laki,Rizki_Bagus_Putri@gmail.com,087495613792,Indosat,1989,Infinix,Hiburan,Restoran,00:41:02
Halte Star Gudetama,Minggu,18:36:07,Rizki Bagus Lia,Laki-laki,Rizki_Bagus_Lia@gmail.com,083884972640,XL,1998,Realme,Sosial Media,Halte,02:25:11
Halte Jaguar Larry,Selasa,12:52:38,Rizki Bagus Sari,Perempuan,Rizki_Bagus_Sari@gmail.com,086125440076,Telkomsel,1972,Vivo,Social Connection,Halte,02:05:03
Kafe Rotello Domo,Rabu,09:34:25,Rizki Bagus Siti,Perempuan,Rizki_Bagus_Siti@gmail.com,089805604959,XL,1979,Xiaomi,Social Connection,Kafe,01:40:46
Restoran Star Sky,Kamis,13:15:47,Rizki Bagus Fitri,Laki-laki,Rizki_Bagus_Fitri@gmail.com,089254921858,Indosat,1990,Realme,Game,Restoran,01:28:47
RS Rotello Specta,Selasa,20:41:48,Rizki Asep Bayu,Laki-laki,Rizki_Asep_Bayu@gmail.com,085341953085,Smartfren,1978,Vivo,Game,Rumah Sakit,00:52:39
Halte Specta Jaguar,Kamis,20:16:48,Rizki Asep Fajar,Laki-laki,Rizki_Asep_Fajar@gmail.com,082670958786,XL,1998,Xiaomi,Social Connection,Halte,01:21:18
Halte Star Gemilang,Jumat,10:37:18,Rizki Asep Ilham,Perempuan,Rizki_Asep_Ilham@gmail.com,085103625874,Indosat,2004,Xiaomi,Sosial Media,Halte,00:36:17
Mall Larry Star,Rabu,17:38:56,Rizki Asep Wahyu,Perempuan,Rizki_Asep_Wahyu@gmail.com,088683198607,Indosat,1979,Realme,Game,Mall,02:31:52
Restoran Gudetama Sky,Senin,13:49:11,Rizki Asep Rizki,Laki-laki,Rizki_Asep_Rizki@gmail.com,086712838895,XL,2005,Infinix,Sosial Media,Restoran,02:39:28
RS Rotello Sunshine,Senin,08:13:04,Rizki Asep Naufal,Perempuan,Rizki_Asep_Naufal@gmail.com,087060319317,Smartfren,1974,Lenovo,Sosial Media,Rumah Sakit,02:12:55
Mall Gemilang Specta,Sabtu,19:45:07,Rizki Asep Tono,Laki-laki,Rizki_Asep_Tono@gmail.com,086536095729,XL,1985,Xiaomi,Sosial Media,Mall,02:26:17
RS Permata Tjantik,Kamis,14:49:19,Rizki Asep Bagus,Perempuan,Rizki_Asep_Bagus@gmail.com,082197036803,3,1975,ASUS,Hiburan,Rumah Sakit,02:53:31
Kafe Permata Specta,Rabu,17:34:04,Rizki Asep Asep,Perempuan,Rizki_Asep_Asep@gmail.com,082982922821,Telkomsel,1986,Lenovo,Social Connection,Kafe,02:05:19
RS Rotello Star,Sabtu,18:38:45,Rizki Asep Kartika,Laki-laki,Rizki_Asep_Kartika@gmail.com,083081680430,Indosat,1999,Lenovo,Hiburan,Rumah Sakit,02:49:39
Mall Rotello Jaguar,Sabtu,21:28:39,Rizki Asep Ayu,Perempuan,Rizki_Asep_Ayu@gmail.com,085099122638,Smartfren,2002,Oppo,Social Connection,Mall,02:35:48
RS Specta Domo,Kamis,14:13:35,Rizki Asep Alma,Perempuan,Rizki_Asep_Alma@gmail.com,084031109667,XL,1998,Infinix,Sosial Media,Rumah Sakit,01:21:38
RS Sky Star,Minggu,14:46:10,Rizki Asep Nabilah,Perempuan,Rizki_Asep_Nabilah@gmail.com,084923318221,Smartfren,1995,Huawei,Hiburan,Rumah Sakit,01:41:58
Mall Pesona Domo,Senin,07:32:51,Rizki Asep Putri,Laki-laki,Rizki_Asep_Putri@gmail.com,084693672038,Smartfren,2005,Lenovo,Game,Mall,02:12:01
RS Sky Rotello,Rabu,13:46:42,Rizki Asep Lia,Laki-laki,Rizki_Asep_Lia@gmail.com,087874299356,Indosat,1985,Xiaomi,Sosial Media,Rumah Sakit,01:14:31
Mall Rotello Pesona,Minggu,15:01:48,Rizki Asep Sari,Perempuan,Rizki_Asep_Sari@gmail.com,085047097551,3,1978,ASUS,Game,Mall,02:52:35
Restoran Larry Permata,Selasa,13:01:20,Rizki Asep Siti,Laki-laki,Rizki_Asep_Siti@gmail.com,086130773303,Indosat,1994,Infinix,Social Connection,Restoran,01:15:58
RS Rotello Rainbow,Selasa,11:03:27,Rizki Asep Fitri,Laki-laki,Rizki_Asep_Fitri@gmail.com,088614828366,3,1985,Oppo,Work Stuff,Rumah Sakit,02:21:10
Kafe Domo Larry,Sabtu,11:24:56,Rizki Kartika Bayu,Perempuan,Rizki_Kartika_Bayu@gmail.com,085350968396,Indosat,1970,Iphone,Sosial Media,Kafe,00:43:47
Halte Jaguar Star,Senin,13:19:12,Rizki Kartika Fajar,Perempuan,Rizki_Kartika_Fajar@gmail.com,085422639380,3,2004,Lenovo,Hiburan,Halte,02:03:03
Kafe Sky Sunshine,Sabtu,20:29:24,Rizki Kartika Ilham,Laki-laki,Rizki_Kartika_Ilham@gmail.com,082123532432,3,1987,Huawei,Social Connection,Kafe,02:01:29
Mall Domo Sky,Selasa,20:45:02,Rizki Kartika Wahyu,Perempuan,Rizki_Kartika_Wahyu@gmail.com,087531803290,Smartfren,2001,Xiaomi,Social Connection,Mall,01:37:07
Mall Pesona Sky,Selasa,21:09:00,Rizki Kartika Rizki,Laki-laki,Rizki_Kartika_Rizki@gmail.com,086354602305,3,1988,Xiaomi,Social Connection,Mall,02:31:24
RS Sunshine Tjantik,Minggu,20:19:56,Rizki Kartika Naufal,Perempuan,Rizki_Kartika_Naufal@gmail.com,087320535679,Smartfren,1996,Huawei,Sosial Media,Rumah Sakit,00:35:41
Halte Rainbow Rainbow,Minggu,16:47:46,Rizki Kartika Tono,Perempuan,Rizki_Kartika_Tono@gmail.com,082897624096,3,2001,Huawei,Game,Halte,01:20:02
Kafe Larry Specta,Selasa,21:36:22,Rizki Kartika Bagus,Laki-laki,Rizki_Kartika_Bagus@gmail.com,085273067857,3,1978,Infinix,Hiburan,Kafe,02:01:36
Halte Rainbow Sunshine,Rabu,10:08:56,Rizki Kartika Asep,Perempuan,Rizki_Kartika_Asep@gmail.com,082132191177,Telkomsel,1979,Samsung,Work Stuff,Halte,01:19:33
Halte Gemilang Permata,Senin,16:11:38,Rizki Kartika Kartika,Perempuan,Rizki_Kartika_Kartika@gmail.com,084304586388,XL,2005,Iphone,Hiburan,Halte,00:36:32
RS Tjantik Sky,Selasa,14:11:02,Rizki Kartika Ayu,Laki-laki,Rizki_Kartika_Ayu@gmail.com,085079636882,3,1978,Vivo,Sosial Media,Rumah Sakit,01:20:38
RS Star Star,Rabu,20:20:48,Rizki Kartika Alma,Perempuan,Rizki_Kartika_Alma@gmail.com,084728033528,Telkomsel,1998,Infinix,Work Stuff,Rumah Sakit,00:42:30
Mall Gudetama Specta,Rabu,15:29:18,Rizki Kartika Nabilah,Perempuan,Rizki_Kartika_Nabilah@gmail.com,085141782235,3,1991,Lenovo,Game,Mall,01:23:31
Halte Jaguar Domo,Jumat,20:55:24,Rizki Kartika Putri,Laki-laki,Rizki_Kartika_Putri@gmail.com,087728645705,Indosat,1979,Huawei,Work Stuff,Halte,01:55:21
Kafe Permata Permata,Jumat,12:37:56,Rizki Kartika Lia,Perempuan,Rizki_Kartika_Lia@gmail.com,085562653650,Smartfren,1972,Samsung,Work Stuff,Kafe,01:56:08
Halte Sky Specta,Kamis,18:29:03,Rizki Kartika Sari,Laki-laki,Rizki_Kartika_Sari@gmail.com,082318556153,Telkomsel,2005,Huawei,Sosial Media,Halte,02:15:17
RS Tjantik Domo,Sabtu,09:05:09,Rizki Kartika Siti,Laki-laki,Rizki_Kartika_Siti@gmail.com,084642034557,3,1974,Huawei,Work Stuff,Rumah Sakit,01:48:04
Halte Permata Larry,Rabu,19:59:29,Rizki Kartika Fitri,Perempuan,Rizki_Kartika_Fitri@gmail.com,088607334508,Telkomsel,2002,Lenovo,Hiburan,Halte,00:27:29
RS Domo Pesona,Rabu,10:48:46,Rizki Ayu Bayu,Laki-laki,Rizki_Ayu_Bayu@gmail.com,086089382924,Telkomsel,1991,Oppo,Work Stuff,Rumah Sakit,02:46:10
Mall Rainbow Domo,Kamis,20:52:45,Rizki Ayu Fajar,Laki-laki,Rizki_Ayu_Fajar@gmail.com,086505943092,XL,1997,Oppo,Hiburan,Mall,00:55:10
RS Star Larry,Sabtu,11:30:57,Rizki Ayu Ilham,Perempuan,Rizki_Ayu_Ilham@gmail.com,081592495566,XL,1978,Oppo,Social Connection,Rumah Sakit,02:04:51
Halte Pesona Larry,Selasa,16:06:45,Rizki Ayu Wahyu,Perempuan,Rizki_Ayu_Wahyu@gmail.com,084515819307,Telkomsel,1981,Oppo,Social Connection,Halte,02:07:59
Kafe Gudetama Gudetama,Kamis,17:23:38,Rizki Ayu Rizki,Laki-laki,Rizki_Ayu_Rizki@gmail.com,084143785939,XL,1979,Samsung,Sosial Media,Kafe,02:01:27
RS Permata Jaguar,Minggu,12:59:56,Rizki Ayu Naufal,Laki-laki,Rizki_Ayu_Naufal@gmail.com,088176022663,3,1986,Samsung,Work Stuff,Rumah Sakit,01:54:19
Halte Larry Jaguar,Rabu,11:54:54,Rizki Ayu Tono,Perempuan,Rizki_Ayu_Tono@gmail.com,082660529275,Telkomsel,2003,Realme,Sosial Media,Halte,02:20:56
Kafe Jaguar Specta,Sabtu,21:50:03,Rizki Ayu Bagus,Laki-laki,Rizki_Ayu_Bagus@gmail.com,089742523570,Telkomsel,1994,Infinix,Sosial Media,Kafe,01:24:07
RS Domo Sky,Kamis,21:02:30,Rizki Ayu Asep,Laki-laki,Rizki_Ayu_Asep@gmail.com,083447425489,Indosat,1999,Samsung,Work Stuff,Rumah Sakit,00:05:30
Restoran Pesona Tjantik,Sabtu,19:08:00,Rizki Ayu Kartika,Laki-laki,Rizki_Ayu_Kartika@gmail.com,084345022093,Indosat,1988,Realme,Game,Restoran,01:11:24
Mall Rotello Jaguar,Minggu,13:20:15,Rizki Ayu Ayu,Perempuan,Rizki_Ayu_Ayu@gmail.com,085035985408,Indosat,1995,Iphone,Social Connection,Mall,00:39:12
Restoran Larry Larry,Selasa,17:02:53,Rizki Ayu Alma,Perempuan,Rizki_Ayu_Alma@gmail.com,087479681532,Indosat,1974,Huawei,Social Connection,Restoran,00:59:57
Restoran Tjantik Gemilang,Senin,19:27:52,Rizki Ayu Nabilah,Perempuan,Rizki_Ayu_Nabilah@gmail.com,089700982344,Indosat,1974,Iphone,Work Stuff,Restoran,00:28:53
Restoran Larry Larry,Selasa,16:42:16,Rizki Ayu Putri,Laki-laki,Rizki_Ayu_Putri@gmail.com,089642485810,Indosat,1970,Lenovo,Social Connection,Restoran,01:11:37
Mall Rotello Tjantik,Jumat,19:11:52,Rizki Ayu Lia,Perempuan,Rizki_Ayu_Lia@gmail.com,084123898165,XL,1980,Infinix,Sosial Media,Mall,02:15:22
Kafe Gudetama Specta,Minggu,19:30:24,Rizki Ayu Sari,Laki-laki,Rizki_Ayu_Sari@gmail.com,085859602034,3,1976,Oppo,Work Stuff,Kafe,02:01:55
Halte Permata Sky,Senin,09:13:36,Rizki Ayu Siti,Laki-laki,Rizki_Ayu_Siti@gmail.com,082459015002,Telkomsel,1995,Oppo,Social Connection,Halte,00:38:26
Mall Jaguar Gemilang,Senin,16:48:46,Rizki Ayu Fitri,Laki-laki,Rizki_Ayu_Fitri@gmail.com,082246050485,Indosat,1981,Huawei,Hiburan,Mall,02:21:26
Halte Pesona Sunshine,Minggu,07:59:04,Rizki Alma Bayu,Laki-laki,Rizki_Alma_Bayu@gmail.com,087514433594,Indosat,1990,Samsung,Hiburan,Halte,02:49:44
Restoran Permata Sunshine,Selasa,19:37:54,Rizki Alma Fajar,Perempuan,Rizki_Alma_Fajar@gmail.com,081621423616,3,1985,Oppo,Sosial Media,Restoran,00:29:50
Mall Sky Specta,Senin,18:10:05,Rizki Alma Ilham,Laki-laki,Rizki_Alma_Ilham@gmail.com,089849270735,Telkomsel,1979,Infinix,Social Connection,Mall,02:06:17
Restoran Larry Gudetama,Selasa,09:26:39,Rizki Alma Wahyu,Perempuan,Rizki_Alma_Wahyu@gmail.com,089248747014,Telkomsel,1983,Realme,Game,Restoran,00:49:08
Halte Star Star,Kamis,09:47:58,Rizki Alma Rizki,Laki-laki,Rizki_Alma_Rizki@gmail.com,085329654512,Smartfren,1978,Realme,Hiburan,Halte,01:44:20
Kafe Gemilang Star,Sabtu,21:15:09,Rizki Alma Naufal,Perempuan,Rizki_Alma_Naufal@gmail.com,083173670742,3,2004,Vivo,Hiburan,Kafe,00:14:28
RS Pesona Domo,Sabtu,09:47:30,Rizki Alma Tono,Perempuan,Rizki_Alma_Tono@gmail.com,083216430784,Smartfren,1992,Realme,Hiburan,Rumah Sakit,02:57:57
Mall Tjantik Sunshine,Minggu,15:30:44,Rizki Alma Bagus,Perempuan,Rizki_Alma_Bagus@gmail.com,082207339392,XL,1995,Iphone,Work Stuff,Mall,02:17:38
Kafe Tjantik Rainbow,Rabu,14:31:56,Rizki Alma Asep,Laki-laki,Rizki_Alma_Asep@gmail.com,084470408102,Smartfren,1987,ASUS,Sosial Media,Kafe,01:50:12
Restoran Tjantik Jaguar,Senin,21:21:53,Rizki Alma Kartika,Laki-laki,Rizki_Alma_Kartika@gmail.com,088286322598,Indosat,1989,Vivo,Social Connection,Restoran,00:19:21
Mall Gudetama Tjantik,Rabu,07:44:34,Rizki Alma Ayu,Perempuan,Rizki_Alma_Ayu@gmail.com,081646270924,XL,1982,Oppo,Hiburan,Mall,01:39:19
Kafe Domo Rainbow,Kamis,08:22:44,Rizki Alma Alma,Perempuan,Rizki_Alma_Alma@gmail.com,081342389834,Smartfren,1997,Huawei,Work Stuff,Kafe,01:39:39
Restoran Rotello Larry,Sabtu,14:50:56,Rizki Alma Nabilah,Laki-laki,Rizki_Alma_Nabilah@gmail.com,089205859041,Smartfren,1988,Infinix,Hiburan,Restoran,02:12:14
Kafe Star Rainbow,Jumat,17:06:49,Rizki Alma Putri,Perempuan,Rizki_Alma_Putri@gmail.com,089153578187,Smartfren,1995,Infinix,Work Stuff,Kafe,00:36:16
Mall Specta Specta,Senin,08:27:16,Rizki Alma Lia,Laki-laki,Rizki_Alma_Lia@gmail.com,083660365726,Smartfren,1996,Realme,Game,Mall,02:38:44
RS Rainbow Gemilang,Senin,13:06:58,Rizki Alma Sari,Perempuan,Rizki_Alma_Sari@gmail.com,089053407784,XL,1995,ASUS,Hiburan,Rumah Sakit,00:40:42
Mall Specta Permata,Kamis,16:57:51,Rizki Alma Siti,Perempuan,Rizki_Alma_Siti@gmail.com,088226109173,Telkomsel,2000,Iphone,Work Stuff,Mall,00:56:44
Mall Tjantik Sky,Selasa,13:54:03,Rizki Alma Fitri,Laki-laki,Rizki_Alma_Fitri@gmail.com,081737065197,Indosat,1996,Huawei,Social Connection,Mall,02:10:12
RS Larry Tjantik,Minggu,13:13:12,Rizki Nabilah Bayu,Laki-laki,Rizki_Nabilah_Bayu@gmail.com,086664621835,Smartfren,2000,Iphone,Work Stuff,Rumah Sakit,00:14:53
Restoran Specta Gudetama,Kamis,21:23:50,Rizki Nabilah Fajar,Laki-laki,Rizki_Nabilah_Fajar@gmail.com,084666062320,3,1997,Oppo,Social Connection,Restoran,02:36:57
RS Sunshine Larry,Senin,16:13:34,Rizki Nabilah Ilham,Laki-laki,Rizki_Nabilah_Ilham@gmail.com,086403980919,Telkomsel,1997,ASUS,Hiburan,Rumah Sakit,00:28:59
Kafe Specta Sky,Jumat,09:53:45,Rizki Nabilah Wahyu,Laki-laki,Rizki_Nabilah_Wahyu@gmail.com,088686955551,Smartfren,1998,Lenovo,Sosial Media,Kafe,00:41:09
Halte Permata Rainbow,Senin,08:28:44,Rizki Nabilah Rizki,Laki-laki,Rizki_Nabilah_Rizki@gmail.com,086205363256,3,1977,Iphone,Hiburan,Halte,01:16:28
Mall Gudetama Pesona,Jumat,09:12:46,Rizki Nabilah Naufal,Laki-laki,Rizki_Nabilah_Naufal@gmail.com,083077971841,Smartfren,1991,Oppo,Work Stuff,Mall,00:23:57
RS Permata Domo,Kamis,20:41:01,Rizki Nabilah Tono,Laki-laki,Rizki_Nabilah_Tono@gmail.com,086514954896,Indosat,1987,Huawei,Hiburan,Rumah Sakit,01:12:02
Restoran Sky Rotello,Kamis,20:12:12,Rizki Nabilah Bagus,Laki-laki,Rizki_Nabilah_Bagus@gmail.com,083650154572,XL,2001,Iphone,Game,Restoran,00:18:03
Kafe Rotello Rainbow,Selasa,10:07:24,Rizki Nabilah Asep,Perempuan,Rizki_Nabilah_Asep@gmail.com,084301612251,Telkomsel,1971,ASUS,Game,Kafe,01:20:37
Kafe Jaguar Rainbow,Selasa,17:24:02,Rizki Nabilah Kartika,Laki-laki,Rizki_Nabilah_Kartika@gmail.com,089593820383,Telkomsel,1972,ASUS,Work Stuff,Kafe,02:37:52
Restoran Jaguar Rotello,Jumat,12:16:43,Rizki Nabilah Ayu,Perempuan,Rizki_Nabilah_Ayu@gmail.com,081224543311,Indosat,1974,Huawei,Game,Restoran,00:29:44
Kafe Star Sunshine,Kamis,13:11:14,Rizki Nabilah Alma,Laki-laki,Rizki_Nabilah_Alma@gmail.com,089266475355,Telkomsel,1994,Lenovo,Social Connection,Kafe,00:43:35
Mall Star Specta,Senin,11:29:53,Rizki Nabilah Nabilah,Perempuan,Rizki_Nabilah_Nabilah@gmail.com,083536413840,Telkomsel,1984,Oppo,Social Connection,Mall,02:07:46
RS Sky Sunshine,Jumat,18:00:04,Rizki Nabilah Putri,Perempuan,Rizki_Nabilah_Putri@gmail.com,089598940928,Telkomsel,2004,Lenovo,Sosial Media,Rumah Sakit,00:10:03
Halte Sunshine Tjantik,Kamis,20:02:11,Rizki Nabilah Lia,Perempuan,Rizki_Nabilah_Lia@gmail.com,085075027247,Telkomsel,1984,Lenovo,Game,Halte,01:19:21
Mall Larry Gudetama,Kamis,11:07:18,Rizki Nabilah Sari,Perempuan,Rizki_Nabilah_Sari@gmail.com,082051848047,XL,1988,Samsung,Hiburan,Mall,02:08:36
Kafe Larry Rainbow,Senin,18:53:27,Rizki Nabilah Siti,Perempuan,Rizki_Nabilah_Siti@gmail.com,085962955286,3,1999,Iphone,Social Connection,Kafe,00:50:59
Mall Tjantik Rainbow,Kamis,12:59:46,Rizki Nabilah Fitri,Laki-laki,Rizki_Nabilah_Fitri@gmail.com,084237858583,XL,2002,Realme,Game,Mall,01:43:23
Mall Rainbow Sunshine,Kamis,11:30:01,Rizki Putri Bayu,Perempuan,Rizki_Putri_Bayu@gmail.com,086644515522,Telkomsel,1975,Oppo,Sosial Media,Mall,01:07:16
Halte Sunshine Star,Selasa,11:37:48,Rizki Putri Fajar,Laki-laki,Rizki_Putri_Fajar@gmail.com,085967669196,Telkomsel,1986,Iphone,Game,Halte,00:53:06
Halte Rainbow Tjantik,Selasa,20:40:37,Rizki Putri Ilham,Perempuan,Rizki_Putri_Ilham@gmail.com,087125869644,Telkomsel,2005,Infinix,Hiburan,Halte,01:04:25
Mall Pesona Gudetama,Rabu,10:35:30,Rizki Putri Wahyu,Perempuan,Rizki_Putri_Wahyu@gmail.com,081229588299,XL,1975,Samsung,Work Stuff,Mall,00:18:56
Kafe Rainbow Star,Selasa,11:54:13,Rizki Putri Rizki,Laki-laki,Rizki_Putri_Rizki@gmail.com,083847226513,Telkomsel,1970,Oppo,Hiburan,Kafe,02:22:06
Mall Jaguar Specta,Minggu,09:02:34,Rizki Putri Naufal,Laki-laki,Rizki_Putri_Naufal@gmail.com,083822154635,XL,1997,Oppo,Game,Mall,02:50:01
Mall Domo Gemilang,Sabtu,12:06:53,Rizki Putri Tono,Laki-laki,Rizki_Putri_Tono@gmail.com,083453876505,Telkomsel,1980,Lenovo,Hiburan,Mall,01:40:03
Kafe Specta Tjantik,Rabu,15:27:26,Rizki Putri Bagus,Laki-laki,Rizki_Putri_Bagus@gmail.com,086850856180,XL,1979,Samsung,Game,Kafe,02:57:24
Kafe Permata Larry,Selasa,09:58:20,Rizki Putri Asep,Perempuan,Rizki_Putri_Asep@gmail.com,086118835433,Smartfren,1999,Vivo,Game,Kafe,02:58:32
Kafe Specta Pesona,Minggu,19:38:32,Rizki Putri Kartika,Perempuan,Rizki_Putri_Kartika@gmail.com,081654578843,XL,1979,ASUS,Hiburan,Kafe,00:51:27
Restoran Sunshine Tjantik,Senin,07:34:25,Rizki Putri Ayu,Perempuan,Rizki_Putri_Ayu@gmail.com,084488984415,Telkomsel,1992,Samsung,Social Connection,Restoran,00:27:18
RS Gudetama Tjantik,Jumat,13:41:59,Rizki Putri Alma,Laki-laki,Rizki_Putri_Alma@gmail.com,082899529223,Smartfren,1974,Vivo,Game,Rumah Sakit,01:51:47
RS Sunshine Domo,Selasa,20:46:54,Rizki Putri Nabilah,Laki-laki,Rizki_Putri_Nabilah@gmail.com,083290901002,Smartfren,1990,Samsung,Work Stuff,Rumah Sakit,00:09:05
Restoran Jaguar Jaguar,Minggu,16:09:20,Rizki Putri Putri,Laki-laki,Rizki_Putri_Putri@gmail.com,088419636764,Telkomsel,1983,Huawei,Hiburan,Restoran,00:11:37
RS Pesona Domo,Sabtu,14:28:07,Rizki Putri Lia,Perempuan,Rizki_Putri_Lia@gmail.com,089035317258,Telkomsel,1985,Huawei,Sosial Media,Rumah Sakit,01:42:58
Restoran Rotello Rotello,Sabtu,19:29:51,Rizki Putri Sari,Laki-laki,Rizki_Putri_Sari@gmail.com,081492851360,Telkomsel,2002,Realme,Work Stuff,Restoran,00:53:48
Mall Pesona Rotello,Rabu,18:06:26,Rizki Putri Siti,Laki-laki,Rizki_Putri_Siti@gmail.com,087178663263,3,2004,Lenovo,Sosial Media,Mall,01:40:23
Restoran Sunshine Permata,Jumat,09:34:16,Rizki Putri Fitri,Laki-laki,Rizki_Putri_Fitri@gmail.com,089028474912,3,1974,Iphone,Work Stuff,Restoran,01:47:30
RS Pesona Jaguar,Sabtu,14:10:07,Rizki Lia Bayu,Perempuan,Rizki_Lia_Bayu@gmail.com,086220969905,Indosat,1993,Oppo,Work Stuff,Rumah Sakit,00:40:10
Halte Star Tjantik,Senin,21:05:25,Rizki Lia Fajar,Perempuan,Rizki_Lia_Fajar@gmail.com,088961876520,Indosat,2005,Xiaomi,Social Connection,Halte,00:57:42
Restoran Domo Tjantik,Sabtu,15:36:48,Rizki Lia Ilham,Laki-laki,Rizki_Lia_Ilham@gmail.com,084855101464,XL,1996,Lenovo,Game,Restoran,01:56:40
RS Jaguar Domo,Selasa,14:15:03,Rizki Lia Wahyu,Perempuan,Rizki_Lia_Wahyu@gmail.com,088317223929,Indosat,1994,Lenovo,Work Stuff,Rumah Sakit,00:08:58
Restoran Pesona Permata,Rabu,09:26:15,Rizki Lia Rizki,Laki-laki,Rizki_Lia_Rizki@gmail.com,082246360908,3,1981,Vivo,Game,Restoran,01:45:59
Restoran Pesona Sky,Sabtu,16:00:18,Rizki Lia Naufal,Perempuan,Rizki_Lia_Naufal@gmail.com,084182295019,3,1970,Infinix,Hiburan,Restoran,00:29:44
RS Gudetama Permata,Senin,14:32:17,Rizki Lia Tono,Laki-laki,Rizki_Lia_Tono@gmail.com,082257071590,XL,1991,Huawei,Sosial Media,Rumah Sakit,00:16:01
Restoran Gudetama Gudetama,Senin,09:49:48,Rizki Lia Bagus,Perempuan,Rizki_Lia_Bagus@gmail.com,082442037162,3,1995,Infinix,Social Connection,Restoran,01:44:44
Mall Jaguar Rotello,Kamis,20:58:56,Rizki Lia Asep,Perempuan,Rizki_Lia_Asep@gmail.com,084950671587,3,2003,Vivo,Hiburan,Mall,02:06:08
Halte Domo Permata,Selasa,19:24:40,Rizki Lia Kartika,Perempuan,Rizki_Lia_Kartika@gmail.com,081976486544,Indosat,1997,Vivo,Sosial Media,Halte,02:40:30
Halte Sunshine Gudetama,Selasa,09:04:14,Rizki Lia Ayu,Laki-laki,Rizki_Lia_Ayu@gmail.com,083613050379,Smartfren,1971,Lenovo,Hiburan,Halte,02:44:10
Restoran Tjantik Gudetama,Kamis,07:57:07,Rizki Lia Alma,Perempuan,Rizki_Lia_Alma@gmail.com,083049584472,Telkomsel,2005,Realme,Hiburan,Restoran,00:37:25
Mall Tjantik Tjantik,Sabtu,09:14:12,Rizki Lia Nabilah,Perempuan,Rizki_Lia_Nabilah@gmail.com,081325341710,Smartfren,1972,Infinix,Game,Mall,02:31:48
Restoran Permata Gudetama,Jumat,21:18:24,Rizki Lia Putri,Perempuan,Rizki_Lia_Putri@gmail.com,089820612056,3,1977,Xiaomi,Work Stuff,Restoran,01:38:17
Kafe Sky Specta,Kamis,09:45:11,Rizki Lia Lia,Laki-laki,Rizki_Lia_Lia@gmail.com,089133800254,Indosat,1970,Lenovo,Sosial Media,Kafe,01:00:10
RS Tjantik Rainbow,Kamis,13:45:51,Rizki Lia Sari,Laki-laki,Rizki_Lia_Sari@gmail.com,086404044330,XL,1996,ASUS,Game,Rumah Sakit,02:55:29
Mall Sunshine Larry,Sabtu,07:23:41,Rizki Lia Siti,Perempuan,Rizki_Lia_Siti@gmail.com,089053810282,Indosat,1999,Infinix,Game,Mall,00:55:02
Kafe Star Sunshine,Selasa,10:35:32,Rizki Lia Fitri,Laki-laki,Rizki_Lia_Fitri@gmail.com,081579785262,3,1978,Vivo,Social Connection,Kafe,02:30:03
Mall Gudetama Sunshine,Jumat,20:34:29,Rizki Sari Bayu,Perempuan,Rizki_Sari_Bayu@gmail.com,081972734008,XL,1999,Infinix,Work Stuff,Mall,02:10:00
Halte Sky Star,Sabtu,21:03:26,Rizki Sari Fajar,Laki-laki,Rizki_Sari_Fajar@gmail.com,089058013451,XL,1973,ASUS,Game,Halte,02:44:17
Halte Gudetama Specta,Sabtu,18:32:29,Rizki Sari Ilham,Perempuan,Rizki_Sari_Ilham@gmail.com,084218821787,Telkomsel,1979,Realme,Hiburan,Halte,01:59:53
Kafe Tjantik Star,Senin,14:03:52,Rizki Sari Wahyu,Laki-laki,Rizki_Sari_Wahyu@gmail.com,085044598154,Indosat,1999,ASUS,Hiburan,Kafe,01:29:11
Halte Gudetama Sunshine,Kamis,08:57:20,Rizki Sari Rizki,Perempuan,Rizki_Sari_Rizki@gmail.com,086893729587,3,2003,Infinix,Social Connection,Halte,00:09:52
Restoran Jaguar Star,Sabtu,14:47:11,Rizki Sari Naufal,Perempuan,Rizki_Sari_Naufal@gmail.com,082269410788,XL,1978,Vivo,Social Connection,Restoran,01:29:47
Halte Specta Star,Sabtu,07:31:24,Rizki Sari Tono,Perempuan,Rizki_Sari_Tono@gmail.com,085518254755,Telkomsel,1973,Samsung,Sosial Media,Halte,02:28:36
Mall Gemilang Gemilang,Selasa,18:29:03,Rizki Sari Bagus,Laki-laki,Rizki_Sari_Bagus@gmail.com,084466090136,Telkomsel,2002,Realme,Game,Mall,02:48:53
